Stream,Lab_log,Site_code,Month,Day,Year,Number_of_collections,Fraction_Size,Class_order,Family,Subfamily_tribe,Genus,Species,Tally,Sample_density,Large_rare,Unique,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Oligochaeta,Oligochaeta,,,,60,96,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ostracoda,Ostracoda,,,,0,0,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Gastropoda,Physidae,,Physa_Physella,,12,19,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Simuliidae,,Simulium,,21,34,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Tipulidae,,Antocha,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Dixidae,,Dixa,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Dixidae,,Meringodixa,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Psychodidae,,Maruina,,2,3,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Stratiomyidae,,Caloparyphus,,3,5,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Ceratopogonidae,,Dasyhelea,,6,10,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Hemiptera,Veliidae,,Rhagovelia,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Hemiptera,Mesoveliidae,,Mesovelia,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Ceratopogonidae,Ceratopogoninae,,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Diptera,Empididae,,Hemerodromia,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Heptageniidae,,Rhithrogena,,13,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Heptageniidae,,Epeorus,,14,22,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Ephemerellidae,,Ephemerella,excrucians group,11,18,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Leptohyphidae,,Tricorythodes,,15,24,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,,13,21,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Heptageniidae,,Afghanurus,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Baetidae,,Baetis,tricaudatus complex,39,62,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Baetidae,,Anafroptilum_Procloeon,,19,30,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Baetidae,,Baetis,,16,26,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Calamoceratidae,,Heteroplectron,californicum,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Helicopsychidae,,Helicopsyche,,4,6,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Hydropsychidae,,Cheumatopsyche,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Lepidostomatidae,,Lepidostoma,canthum_pluviale group,15,24,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Lepidostomatidae,,Lepidostoma,,1,2,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Ephemeroptera,Baetidae,,Callibaetis,,1,2,Y,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Leptoceridae,,Mystacides,,8,13,N,N,,,,,,,,,,,,,,,,,,,,
Oregon Creek,23115,OC,10,14,2021,11,0.625,Trichoptera,Sericostomatidae,,Gumaga,,3,5,N,N,,,,,,,,,,,,,,,,,,,,
