SiteVisitID,MacroSessID,Date,SampleCode,SampleLocation,CollectionTime,DataEntryDateTime,UniqueName,Group,MacroTypeID,Name,TValue,FDesign,Count,SampleArea
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ord,Order,1,Acari,5,P,6,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ord,Order,9,Nematoda,5,CG,1,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ord,Order,13,Oligochaeta,8,CG,9,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ord,Order,12,Pelecypoda,8,FC,3,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Eph,Ephemeroptera,18,Ameletidae,0,CG,1,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Eph,Ephemeroptera,19,Baetidae,4,CG,10,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Eph,Ephemeroptera,21,Ephemerellidae,1,CG,4,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Eph,Ephemeroptera,23,Heptageniidae,4,SC,13,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Eph,Ephemeroptera,26,Leptophlebiidae,2,SC,10,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ple,Plecoptera,31,Chloroperlidae,1,P,12,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ple,Plecoptera,33,Nemouridae,2,SH,3,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Ple,Plecoptera,35,Perlidae,1,P,3,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Tri,Trichoptera,44,Glossosomatidae,0,SC,1,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Tri,Trichoptera,47,Hydropsychidae,4,FC,6,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Tri,Trichoptera,51,Limnephilidae,4,SH,1,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Tri,Trichoptera,55,Polycentropodidae,6,P,1,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Tri,Trichoptera,57,Rhyacophilidae,0,P,4,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Dip,Diptera,72,Chironomidae,6,CG,169,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Dip,Diptera,72,Chironomidae,6,CG,2,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Dip,Diptera,75,Empididae,6,P,5,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Dip,Diptera,78,Simuliidae,6,FC,3,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Dip,Diptera,81,Tipulidae,3,SH,4,8
1708,222,7/1/08,,Bear Valley Lower: Not FoDC,,11/7/08,Col,Coleoptera,106,"Elmidae (A,L)",4,CG,31,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ord,Order,1,Acari,5,P,10,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ord,Order,9,Nematoda,5,CG,3,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ord,Order,13,Oligochaeta,8,CG,10,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ord,Order,15,Turbellaria,4,P,2,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Eph,Ephemeroptera,19,Baetidae,4,CG,21,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Eph,Ephemeroptera,21,Ephemerellidae,1,CG,7,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Eph,Ephemeroptera,23,Heptageniidae,4,SC,11,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Eph,Ephemeroptera,26,Leptophlebiidae,2,SC,3,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ple,Plecoptera,31,Chloroperlidae,1,P,7,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ple,Plecoptera,33,Nemouridae,2,SH,10,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Ple,Plecoptera,35,Perlidae,1,P,3,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Tri,Trichoptera,47,Hydropsychidae,4,FC,2,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Tri,Trichoptera,51,Limnephilidae,4,SH,1,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Tri,Trichoptera,57,Rhyacophilidae,0,P,4,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Dip,Diptera,72,Chironomidae,6,CG,137,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Dip,Diptera,75,Empididae,6,P,3,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Dip,Diptera,78,Simuliidae,6,FC,32,8
1693,223,7/1/08,,Bear Valley Middle,,11/7/08,Col,Coleoptera,106,"Elmidae (A,L)",4,CG,35,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ord,Order,1,Acari,5,P,7,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ord,Order,13,Oligochaeta,8,CG,2,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ord,Order,12,Pelecypoda,8,FC,4,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Eph,Ephemeroptera,19,Baetidae,4,CG,28,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Eph,Ephemeroptera,21,Ephemerellidae,1,CG,12,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Eph,Ephemeroptera,23,Heptageniidae,4,SC,6,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ple,Plecoptera,31,Chloroperlidae,1,P,4,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ple,Plecoptera,33,Nemouridae,2,SH,4,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ple,Plecoptera,34,Peltoperlidae,1,SH,3,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Ple,Plecoptera,35,Perlidae,1,P,3,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Tri,Trichoptera,44,Glossosomatidae,0,SC,1,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Tri,Trichoptera,47,Hydropsychidae,4,FC,1,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Tri,Trichoptera,48,Hydroptilidae,4,,4,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Tri,Trichoptera,51,Limnephilidae,4,SH,4,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Dip,Diptera,72,Chironomidae,6,CG,90,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Dip,Diptera,75,Empididae,6,P,1,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Dip,Diptera,78,Simuliidae,6,FC,111,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Odo,Odonata,100,Libellulidae,9,P,1,8
1723,221,7/1/08,,Bear Valley Upper,,11/7/08,Col,Coleoptera,106,"Elmidae (A,L)",4,CG,17,8
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Ord,Order,1,Acari,5,P,5,
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Ord,Order,1,Acari,5,P,5,1
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Ord,Order,6,Gastropoda,7,SC,1,
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Ord,Order,6,Gastropoda,7,SC,1,1
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Ord,Order,12,Pelecypoda,8,FC,2,1
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Ord,Order,12,Pelecypoda,8,FC,2,
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Ord,Order,15,Turbellaria,4,P,3,
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Ord,Order,15,Turbellaria,4,P,3,1
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Eph,Ephemeroptera,18,Ameletidae,0,CG,17,
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Eph,Ephemeroptera,18,Ameletidae,0,CG,5,1
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Eph,Ephemeroptera,19,Baetidae,4,CG,120,1
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Eph,Ephemeroptera,19,Baetidae,4,CG,102,
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Eph,Ephemeroptera,21,Ephemerellidae,1,CG,24,
2119,284,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/30/10,Eph,Ephemeroptera,21,Ephemerellidae,1,CG,16,1
2102,283,12/4/09,,Dean Ephemeral Upstream,12/31/99,7/23/10,Eph,Ephemeroptera,23,Heptageniidae,4,SC,203,
