Site_code,Mean_NDVI,WY
DC 1,0.8305000066757200,2003
DC 2,0.8036999702453610,2003
DC 13,0.7502999901771550,2003
DC 12,0.7207000255584720,2003
DC 11,0.7207000255584720,2003
DC 17,0.5835999846458440,2003
DC 3,0.7757999897003170,2003
DC 4,0.7544000148773190,2003
DC 19,0.3248000144958500,2003
DC 5,0.732200026512146,2003
NA,0.7235999703407290,2003
DC 6,0.6414999961853030,2003
DC 18,0.4950000047683720,2003
DC 7,0.5863999724388120,2003
DC 8,0.5861999988555910,2003
DC 15,0.5889999866485600,2003
DC 16,0.5985999703407290,2003
DC 9,0.6194000244140630,2003
DC 10,0.5547999739646910,2003
DC 14,0.4706999957561490,2003
BR 1,0.7204999923706060,2003
BR 2,0.35749998688697800,2003
BR 3,0.6819999814033510,2003
BR 4,0.6446999907493590,2003
BR 5,0.6696000099182130,2003
BR 6,0.6826000213623050,2003
BR 7,0.6007000207901000,2003
BR 9,0.7103999853134160,2003
BR 11,0.5212000012397770,2003
BR 12,0.3273000121116640,2003
BAFB 1C,0.4345000088214870,2003
BAFB 2B,0.41600000858306900,2003
BAFB 3C,0.387800008058548,2003
BR 13,0.4505999982357030,2003
BR 8,0.46230000257492100,2003
DC 1,0.8219000101089480,2004
DC 2,0.7797999978065490,2004
DC 13,0.7986000180244450,2004
DC 12,0.6545000076293950,2004
DC 11,0.675000011920929,2004
DC 17,0.48399999737739600,2004
DC 3,0.7143999934196470,2004
DC 4,0.7542999982833860,2004
DC 19,0.27720001339912400,2004
DC 5,0.6927000284194950,2004
NA,0.6915000081062320,2004
DC 6,0.5393999814987180,2004
DC 18,0.4593999981880190,2004
DC 7,0.5891000032424930,2004
DC 8,0.6129000186920170,2004
DC 15,0.5867000222206120,2004
DC 16,0.5828999876976010,2004
DC 9,0.6100999712944030,2004
DC 10,0.4950999915599820,2004
DC 14,0.4690999984741210,2004
BR 1,0.7008000016212460,2004
BR 2,0.3499999940395360,2004
BR 3,0.6509000062942510,2004
BR 4,0.6924999952316280,2004
BR 5,0.6586999893188480,2004
BR 6,0.6474000215530400,2004
BR 7,0.569100022315979,2004
BR 9,0.620199978351593,2004
BR 11,0.5027999877929690,2004
BR 12,0.3416999876499180,2004
BAFB 1C,0.3822000026702880,2004
BAFB 2B,0.42260000109672500,2004
BAFB 3C,0.4194999933242800,2004
BR 13,0.3440999984741210,2004
BR 8,0.49079999327659600,2004
DC 1,0.8212000131607060,2005
DC 2,0.753600001335144,2005
DC 13,0.7972000241279600,2005
DC 12,0.6782000064849850,2005
DC 11,0.6869000196456910,2005
DC 17,0.6581000089645390,2005
DC 3,0.6866000294685360,2005
DC 4,0.7544000148773190,2005
DC 19,0.35409998893737800,2005
DC 5,0.6952000260353090,2005
NA,0.6877999901771550,2005
DC 6,0.6523000001907350,2005
DC 18,0.5149999856948850,2005
DC 7,0.532800018787384,2005
DC 8,0.5809000134468080,2005
DC 15,0.5766000151634220,2005
DC 16,0.5835999846458440,2005
DC 9,0.6582000255584720,2005
DC 10,0.5091000199317930,2005
DC 14,0.4180999994277950,2005
BR 1,0.7002000212669370,2005
BR 2,0.3294000029563900,2005
BR 3,0.781000018119812,2005
BR 4,0.6395999789237980,2005
BR 5,0.6431999802589420,2005
BR 6,0.6600000262260440,2005
BR 7,0.6014999747276310,2005
BR 9,0.6195999979972840,2005
BR 11,0.42080000042915300,2005
BR 12,0.3003999888896940,2005
BAFB 1C,0.365200012922287,2005
BAFB 2B,0.41909998655319200,2005
BAFB 3C,0.41909998655319200,2005
BR 13,0.3100000023841860,2005
BR 8,0.48980000615119900,2005
DC 1,0.8270000219345090,2006
DC 2,0.7634999752044680,2006
DC 13,0.7139000296592710,2006
DC 12,0.6514999866485600,2006
DC 11,0.699400007724762,2006
DC 17,0.524399995803833,2006
DC 3,0.7506999969482420,2006
DC 4,0.7483000159263610,2006
DC 19,0.361299991607666,2006
DC 5,0.7160000205039980,2006
NA,0.6917999982833860,2006
DC 6,0.6553000211715700,2006
DC 18,0.48809999227523800,2006
DC 7,0.5641999840736390,2006
DC 8,0.5641999840736390,2006
DC 15,0.590399980545044,2006
DC 16,0.5667999982833860,2006
DC 9,0.5558000206947330,2006
DC 10,0.45159998536109900,2006
DC 14,0.38690000772476200,2006
BR 1,0.7003999948501590,2006
BR 2,0.47999998927116400,2006
BR 3,0.6308000087738040,2006
BR 4,0.7301999926567080,2006
BR 5,0.7153000235557560,2006
BR 6,0.696399986743927,2006
BR 7,0.58160001039505,2006
BR 9,0.6377000212669370,2006
BR 11,0.41839998960495000,2006
BR 12,0.31360000371933000,2006
BAFB 1C,0.3398999869823460,2006
BAFB 2B,0.3621000051498410,2006
BAFB 3C,0.3483999967575070,2006
BR 13,0.5206999778747560,2006
BR 8,0.3677000105381010,2006
DC 1,0.8611000180244450,2007
DC 2,0.804099977016449,2007
DC 13,0.7347000241279600,2007
DC 12,0.7347000241279600,2007
DC 11,0.7360000014305120,2007
DC 17,0.6072999835014340,2007
DC 3,0.7407000064849850,2007
DC 4,0.7811999917030330,2007
DC 19,0.44029998779296900,2007
DC 5,0.738099992275238,2007
NA,0.6851999759674070,2007
DC 6,0.6057999730110170,2007
DC 18,0.4652000069618230,2007
DC 7,0.5601999759674070,2007
DC 8,0.579800009727478,2007
DC 15,0.5913000106811520,2007
DC 16,0.6144000291824340,2007
DC 9,0.6265000104904180,2007
DC 10,0.48420000076293900,2007
DC 14,0.5557000041008000,2007
BR 1,0.7099999785423280,2007
BR 2,0.3160000145435330,2007
BR 3,0.7354000210762020,2007
BR 4,0.6424999833107000,2007
BR 5,0.6412000060081480,2007
BR 6,0.7245000004768370,2007
BR 7,0.5856999754905700,2007
BR 9,0.7286999821662900,2007
BR 11,0.49160000681877100,2007
BR 12,0.2980000078678130,2007
BAFB 1C,0.4041999876499180,2007
BAFB 2B,0.39079999923706100,2007
BAFB 3C,0.34380000829696700,2007
BR 13,0.41339999437332200,2007
BR 8,0.46070000529289200,2007
DC 1,0.8357999920845030,2008
DC 2,0.7986999750137330,2008
DC 13,0.6948999762535100,2008
DC 12,0.7351999878883360,2008
DC 11,0.7166000008583070,2008
DC 17,0.6080999970436100,2008
DC 3,0.7709000110626220,2008
DC 4,0.7552000284194950,2008
DC 19,0.382999986410141,2008
DC 5,0.7408999800682070,2008
NA,0.7002000212669370,2008
DC 6,0.6570000052452090,2008
DC 18,0.48539999127388,2008
DC 7,0.5568000078201290,2008
DC 8,0.61080002784729,2008
DC 15,0.5491999983787540,2008
DC 16,0.5981000065803530,2008
DC 9,0.6014999747276310,2008
DC 10,0.5206000208854680,2008
DC 14,0.5232999920845030,2008
BR 1,0.7092999815940860,2008
BR 2,0.4964999854564670,2008
BR 3,0.737500011920929,2008
BR 4,0.689300000667572,2008
BR 5,0.6697999835014340,2008
BR 6,0.661899983882904,2008
BR 7,0.5282999873161320,2008
BR 9,0.7157999873161320,2008
BR 11,0.4433000087738040,2008
BR 12,0.33899998664856000,2008
BAFB 1C,0.37770000100135800,2008
BAFB 2B,0.3817000091075900,2008
BAFB 3C,0.4120999872684480,2008
BR 13,0.42829999327659600,2008
BR 8,0.3109999895095830,2008
DC 1,0.842199981212616,2009
DC 2,0.7773000001907350,2009
DC 13,0.7081000208854680,2009
DC 12,0.7297999858856200,2009
DC 11,0.6891000270843510,2009
DC 17,0.5647000074386600,2009
DC 3,0.7534999847412110,2009
DC 4,0.760699987411499,2009
DC 19,0.39100000262260400,2009
DC 5,0.7091000080108640,2009
NA,0.6858999729156490,2009
DC 6,0.6406000256538390,2009
DC 18,0.5217000246047970,2009
DC 7,0.5430999994277950,2009
DC 8,0.597599983215332,2009
DC 15,0.580299973487854,2009
DC 16,0.6276000142097470,2009
DC 9,0.6859999895095830,2009
DC 10,0.4844000041484830,2009
DC 14,0.5372999906539920,2009
BR 1,0.715399980545044,2009
BR 2,0.36730000376701400,2009
BR 3,0.6668999791145330,2009
BR 4,0.6682000160217290,2009
BR 5,0.6510000228881840,2009
BR 6,0.6775000095367430,2009
BR 7,0.5986999869346620,2009
BR 9,0.733299970626831,2009
BR 11,0.47929999232292200,2009
BR 12,0.3314000070095060,2009
BAFB 1C,0.3885999917984010,2009
BAFB 2B,0.37599998712539700,2009
BAFB 3C,0.36890000104904200,2009
BR 13,0.4196000099182130,2009
BR 8,0.38179999589920000,2009
DC 1,0.8464999794960020,2010
DC 2,0.7850000262260440,2010
DC 13,0.7476999759674070,2010
DC 12,0.6898000240325930,2010
DC 11,0.6898000240325930,2010
DC 17,0.5903000235557560,2010
DC 3,0.7745000123977660,2010
DC 4,0.7853000164031980,2010
DC 19,0.24699999392032600,2010
DC 5,0.7161999940872190,2010
NA,0.7038000226020810,2010
DC 6,0.661300003528595,2010
DC 18,0.48330000042915300,2010
DC 7,0.6079999804496770,2010
DC 8,0.6121000051498410,2010
DC 15,0.6033999919891360,2010
DC 16,0.6180999875068670,2010
DC 9,0.6254000067710880,2010
DC 10,0.47269999980926500,2010
DC 14,0.4499000012874600,2010
BR 1,0.7475000023841860,2010
BR 2,0.4699000120162960,2010
BR 3,0.6775000095367430,2010
BR 4,0.680899977684021,2010
BR 5,0.7190999984741210,2010
BR 6,0.7089999914169310,2010
BR 7,0.5673999786376950,2010
BR 9,0.7390999794006350,2010
BR 11,0.4805999994277950,2010
BR 12,0.3580000102519990,2010
BAFB 1C,0.39399999380111700,2010
BAFB 2B,0.3458000123500820,2010
BAFB 3C,0.4174000024795530,2010
BR 13,0.4794999957084660,2010
