Site_code,Mean_NDVI,WY
DC 1,0.8166000247,2000
DC 2,0.7599999905,2000
DC 13,0.6675999761,2000
DC 12,0.7706000209,2000
DC 11,0.657400012,2000
DC 17,0.5419999957,2000
DC 3,0.6909000278,2000
DC 4,0.7529000044,2000
DC 19,0.3215999901,2000
DC 5,0.6657999754,2000
NA,0.6646000147,2000
DC 6,0.5985999703,2000
DC 18,0.5173000097,2000
DC 7,0.5780000091,2000
DC 8,0.5453000069,2000
DC 15,0.586499989,2000
DC 16,0.5734999776,2000
DC 9,0.6079999804,2000
DC 10,0.5266000032,2000
DC 14,0.4738999903,2000
BR 1,0.7053999901,2000
BR 2,0.1985000074,2000
BR 3,0.7281000018,2000
BR 4,0.6326000094,2000
BR 5,0.6159999967,2000
BR 6,0.7131000161,2000
BR 7,0.5726000071,2000
BR 9,0.7021999955,2000
BR 11,0.5683000088,2000
BR 12,0.3328000009,2000
BAFB 1C,0.3720000088,2000
BAFB 2B,0.3380999863,2000
BAFB 3C,0.3923000097,2000
BR 13,0.4163999856,2000
BR 8,0.4199000001,2000
DC 1,0.8648999929,2001
DC 2,0.7457000017,2001
DC 13,0.7673000097,2001
DC 12,0.6830999851,2001
DC 11,0.6765999794,2001
DC 17,0.5450999737,2001
DC 3,0.7603999972,2001
DC 4,0.7778999805,2001
DC 19,0.3727999926,2001
DC 5,0.7275999784,2001
NA,0.6668999791,2001
DC 6,0.576399982,2001
DC 18,0.5029000044,2001
DC 7,0.5873000026,2001
DC 8,0.5598000288,2001
DC 15,0.603399992,2001
DC 16,0.5496000051,2001
DC 9,0.5904999971,2001
DC 10,0.5048999786,2001
DC 14,0.4763999879,2001
BR 1,0.706799984,2001
BR 2,0.3379999995,2001
BR 3,0.6970000267,2001
BR 4,0.635800004,2001
BR 5,0.6553999782,2001
BR 6,0.668900013,2001
BR 7,0.5584999919,2001
BR 9,0.6732000113,2001
BR 11,0.4551999867,2001
BR 12,0.2822000086,2001
BAFB 1C,0.3991999924,2001
BAFB 2B,0.3666999936,2001
BAFB 3C,0.3190000057,2001
BR 13,0.4329000115,2001
BR 8,0.4302000105,2001
DC 1,0.8417000175,2002
DC 2,0.7576000094,2002
DC 13,0.7696999907,2002
DC 12,0.646600008,2002
DC 11,0.6891999841,2002
DC 17,0.5788000226,2002
DC 3,0.7050999999,2002
DC 4,0.731400013,2002
DC 19,0.3465999961,2002
DC 5,0.6945999861,2002
NA,0.6625999808,2002
DC 6,0.5343000293,2002
DC 18,0.4767999947,2002
DC 7,0.5464000106,2002
DC 8,0.5406000018,2002
DC 15,0.5662000179,2002
DC 16,0.5389999747,2002
DC 9,0.5773000121,2002
DC 10,0.5062999725,2002
DC 14,0.5052000284,2002
BR 1,0.7128000259,2002
BR 2,0.3542000055,2002
BR 3,0.5612999797,2002
BR 4,0.6514000297,2002
BR 5,0.6582999825,2002
BR 6,0.6978999972,2002
BR 7,0.5658000112,2002
BR 9,0.7141000032,2002
BR 11,0.484100014,2002
BR 12,0.3007000089,2002
BAFB 1C,0.3544999957,2002
BAFB 2B,0.3592000008,2002
BAFB 3C,0.3621999919,2002
BR 13,0.4117999971,2002
BR 8,0.5328000188,2002
DC 1,0.8305000067,2003
DC 2,0.8036999702,2003
DC 13,0.7502999902,2003
DC 12,0.7207000256,2003
DC 11,0.7207000256,2003
DC 17,0.5835999846,2003
DC 3,0.7757999897,2003
DC 4,0.7544000149,2003
DC 19,0.3248000145,2003
DC 5,0.7322000265,2003
NA,0.7235999703,2003
DC 6,0.6414999962,2003
DC 18,0.4950000048,2003
DC 7,0.5863999724,2003
DC 8,0.5861999989,2003
DC 15,0.5889999866,2003
DC 16,0.5985999703,2003
DC 9,0.6194000244,2003
DC 10,0.554799974,2003
DC 14,0.4706999958,2003
BR 1,0.7204999924,2003
BR 2,0.3574999869,2003
BR 3,0.6819999814,2003
BR 4,0.6446999907,2003
BR 5,0.6696000099,2003
BR 6,0.6826000214,2003
BR 7,0.6007000208,2003
BR 9,0.7103999853,2003
BR 11,0.5212000012,2003
BR 12,0.3273000121,2003
BAFB 1C,0.4345000088,2003
BAFB 2B,0.4160000086,2003
BAFB 3C,0.3878000081,2003
BR 13,0.4505999982,2003
BR 8,0.4623000026,2003
DC 1,0.8219000101,2004
DC 2,0.7797999978,2004
DC 13,0.798600018,2004
DC 12,0.6545000076,2004
DC 11,0.6750000119,2004
DC 17,0.4839999974,2004
DC 3,0.7143999934,2004
DC 4,0.7542999983,2004
DC 19,0.2772000134,2004
DC 5,0.6927000284,2004
NA,0.6915000081,2004
DC 6,0.5393999815,2004
DC 18,0.4593999982,2004
DC 7,0.5891000032,2004
DC 8,0.6129000187,2004
DC 15,0.5867000222,2004
DC 16,0.5828999877,2004
DC 9,0.6100999713,2004
DC 10,0.4950999916,2004
DC 14,0.4690999985,2004
BR 1,0.7008000016,2004
BR 2,0.349999994,2004
BR 3,0.6509000063,2004
BR 4,0.6924999952,2004
BR 5,0.6586999893,2004
BR 6,0.6474000216,2004
BR 7,0.5691000223,2004
BR 9,0.6201999784,2004
BR 11,0.5027999878,2004
BR 12,0.3416999876,2004
BAFB 1C,0.3822000027,2004
BAFB 2B,0.4226000011,2004
BAFB 3C,0.4194999933,2004
BR 13,0.3440999985,2004
BR 8,0.4907999933,2004
DC 1,0.8212000132,2005
DC 2,0.7536000013,2005
DC 13,0.7972000241,2005
DC 12,0.6782000065,2005
DC 11,0.6869000196,2005
DC 17,0.658100009,2005
DC 3,0.6866000295,2005
DC 4,0.7544000149,2005
DC 19,0.3540999889,2005
DC 5,0.695200026,2005
NA,0.6877999902,2005
DC 6,0.6523000002,2005
DC 18,0.5149999857,2005
DC 7,0.5328000188,2005
DC 8,0.5809000134,2005
DC 15,0.5766000152,2005
DC 16,0.5835999846,2005
DC 9,0.6582000256,2005
DC 10,0.5091000199,2005
DC 14,0.4180999994,2005
BR 1,0.7002000213,2005
BR 2,0.329400003,2005
BR 3,0.7810000181,2005
