"","Site_code","WY","P_ET"
"1","DC 1",2001,NA
"2","DC 1",2002,614.332540087326
"3","DC 1",2003,727.323489317703
"4","DC 1",2004,380.107555677408
"5","DC 1",2005,945.262289845316
"6","DC 1",2006,1545.49987705163
"7","DC 1",2007,72.9122578431593
"8","DC 1",2008,260.741567614045
"9","DC 1",2009,508.349574821433
"10","DC 1",2010,599.338012927174
"11","DC 1",2011,1326.29211236859
"12","DC 1",2012,391.076331815521
"13","DC 1",2013,468.841466436922
"14","DC 1",2014,102.966165394859
"15","DC 1",2015,142.9154986502
"16","DC 1",2016,827.381347688
"17","DC 1",2017,1955.61482795276
"18","DC 1",2018,421.812639434899
"19","DC 1",2019,1098.73156643402
"20","DC 1",2020,112.546313106982
"21","DC 1",2021,-115.986270432995
"22","DC 1",2022,514.217922942305
"23","DC 1",2023,-189.568633181949
"24","DC 2",2001,NA
"25","DC 2",2002,618.297156766307
"26","DC 2",2003,644.632276896096
"27","DC 2",2004,402.997671033725
"28","DC 2",2005,922.592963115674
"29","DC 2",2006,1319.73427012554
"30","DC 2",2007,164.851664449724
"31","DC 2",2008,216.472835956855
"32","DC 2",2009,498.261549187181
"33","DC 2",2010,553.998004299515
"34","DC 2",2011,1217.33250600369
"35","DC 2",2012,417.205727489069
"36","DC 2",2013,401.042522920141
"37","DC 2",2014,95.571132256432
"38","DC 2",2015,136.959962551538
"39","DC 2",2016,733.452130711774
"40","DC 2",2017,1581.08705782075
"41","DC 2",2018,260.79400282217
"42","DC 2",2019,919.102032244137
"43","DC 2",2020,-3.00358821777286
"44","DC 2",2021,-155.556969429511
"45","DC 2",2022,418.970090988694
"46","DC 2",2023,-196.52178627579
"47","DC 13",2001,NA
"48","DC 13",2002,602.931455073326
"49","DC 13",2003,713.678492088295
"50","DC 13",2004,378.292339495366
"51","DC 13",2005,866.338975703477
"52","DC 13",2006,1380.58261885783
"53","DC 13",2007,253.673746716055
"54","DC 13",2008,345.268648538356
"55","DC 13",2009,583.633626170993
"56","DC 13",2010,601.539498552771
"57","DC 13",2011,1168.3701867318
"58","DC 13",2012,421.904737544957
"59","DC 13",2013,455.25169019057
"60","DC 13",2014,69.8612652240469
"61","DC 13",2015,104.040395884512
"62","DC 13",2016,773.746722333606
"63","DC 13",2017,1565.3760401425
"64","DC 13",2018,434.274592683721
"65","DC 13",2019,949.345850060056
"66","DC 13",2020,6.42318793614254
"67","DC 13",2021,-154.75480957493
"68","DC 13",2022,496.087151875386
"69","DC 13",2023,-220.128852606359
"70","DC 12",2001,NA
"71","DC 12",2002,747.464916425525
"72","DC 12",2003,749.827449743518
"73","DC 12",2004,552.059284075806
"74","DC 12",2005,1012.12603942097
"75","DC 12",2006,1451.10836072664
"76","DC 12",2007,253.673746716055
"77","DC 12",2008,297.474492437501
"78","DC 12",2009,557.752466267536
"79","DC 12",2010,670.576423791858
"80","DC 12",2011,1280.04415897437
"81","DC 12",2012,536.558738891388
"82","DC 12",2013,481.76718510137
"83","DC 12",2014,165.93252084882
"84","DC 12",2015,264.907754081674
"85","DC 12",2016,824.81611758257
"86","DC 12",2017,1685.37283974463
"87","DC 12",2018,276.391420868261
