"","WY","Date","SOI_avg5"
"1",2002,2002-01-01,0.1
"2",2003,2003-01-01,-0.56
"3",2004,2004-01-01,-0.12
"4",2005,2005-01-01,-0.32
"5",2006,2006-01-01,0.62
"6",2007,2007-01-01,-0.58
"7",2008,2008-01-01,1.06
"8",2009,2009-01-01,1.26
"9",2010,2010-01-01,-0.66
"10",2011,2011-01-01,2.08
"11",2012,2012-01-01,1.3
"12",2013,2013-01-01,0.02
"13",2014,2014-01-01,0.48
"14",2015,2015-01-01,-0.72
"15",2016,2016-01-01,-1.32
"16",2017,2017-01-01,0.26
"17",2018,2018-01-01,0.68
"18",2019,2019-01-01,0.08
"19",2020,2020-01-01,-0.56
"20",2021,2021-01-01,1.16
