Date,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4
d_20030101,42.8,32.5,15.6,8.7,3.5,20.9,12.7,4.6,2.3,0.8
d_20030201,35.9,25.1,11.5,5.9,1.8,26.7,18,8.7,5,2.1
d_20030301,29.1,18.5,7.9,4.2,1.3,28.4,18.4,7.7,4.3,1.5
d_20030401,24.1,15.2,6.5,3.3,1.2,32.5,22,8.2,3.4,0.9
d_20030501,19.2,11.5,4.9,2.2,0.6,31.9,21.7,11.1,6.7,2.5
d_20030601,20.5,11.4,3.3,1.2,0.1,33.4,22.5,11.6,7.2,3.6
d_20030701,32,19.2,5.1,1.7,0.3,24.8,17.1,9.9,6.7,3.4
d_20030801,29.4,18,5.4,2.2,0.5,28.1,20.3,10.5,6.6,2.9
d_20030901,31,18.4,6.6,3.4,1.4,26.7,19.9,11.2,7.1,3.5
d_20031001,30.7,18.3,5.7,2.2,0.6,29.5,23.5,15.1,10.3,5.3
d_20031101,30.4,18.3,5.7,2.3,0.7,29.2,22.9,14.2,9.4,4.7
d_20031201,32.3,19.8,6.6,3,1.1,31.4,24.5,14.5,10.3,5.4
d_20040101,34.3,21.8,8.4,4,1.2,26.7,20.7,12,8.4,4.7
d_20040201,30.8,19.2,7.1,3,0.8,27.2,19.4,9.8,6,2.4
d_20040301,38.4,25.1,10.6,5.8,2.2,21.2,14.2,6.9,3.6,1.1
d_20040401,31.6,19.1,7.4,3.3,0.9,24.6,15.3,6.6,3.3,1
d_20040501,27.4,17.6,6.1,2.8,0.9,30.6,21.5,10.3,5.6,2.1
d_20040601,23.9,14,4.6,2.3,0.8,30.3,19.5,8.5,4.5,1.5
d_20040701,20.7,11.4,3,1.1,0.1,37.6,24.7,10.6,4.9,2
d_20040801,20.5,12.8,4,1.5,0.2,39.1,27.2,12,5.9,1.9
d_20040901,17.4,9.3,1.5,0.3,0,39.5,27.7,13,6.6,2.2
d_20041001,7.8,3.4,0.5,0.1,0,51.6,35.4,15.9,8,2.3
d_20041101,11,6.2,1.2,0.2,0,56.6,42.3,21.2,12.8,5.1
d_20041201,8.2,4,0.7,0.1,0,60.6,45.7,24.3,14.5,5
d_20050101,8,3.9,0.5,0.1,0,64.7,52.2,29.7,18.5,7.7
d_20050201,13,8.3,3.2,1.2,0.2,62.2,51.7,31.3,20.5,10.2
d_20050301,11.5,6.7,2.1,0.8,0.1,60.2,47.3,25.7,15.9,8.1
d_20050401,11.1,6.3,1.6,0.5,0.1,58.3,44.5,23.4,14.7,7.6
d_20050501,13.7,7.5,1.4,0.2,0,53.6,42,23.5,15,8.1
d_20050601,11.7,6.7,1.5,0.4,0,52.4,38.1,18.6,11.6,6.4
d_20050701,16,9.6,2.9,0.9,0.1,42.4,28.3,12.4,7.2,3.2
