"","Site_code","Month","Year","ppt_pA","tmin_pA","tmax_pA","tavg_pA","vpdmin_pA","vpdmax_pA","Month","ppt_pM","tmin_pM","tmax_pM","tavg_pM","vpdmin_pM","vpdmax_pM","ppt_cA","tmin_cA","tmax_cA","tavg_cA","cmd_cA","ppt_cM","tmin_cM","tmax_cM","tavg_cM","cmd_cM"
"1","DC 1",1,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,1,143.6490021,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,1396,4.9,24.3,13.3,764,131,3.7,14,8.9,0
"2","DC 1",2,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,2,102.0579987,0.052,11.7340002,5.8930001,1.278,8.4460001,1396,4.9,24.3,13.3,764,99,-0.3,11.9,5.8,0
"3","DC 1",3,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,3,187.9049988,1.288,13.8319998,7.5590005,0.96,9.4399996,1396,4.9,24.3,13.3,764,173,2.2,15.3,8.7,0
"4","DC 1",4,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,4,350.6380005,0.929,10.4569998,5.6920004,0.633,6.4330001,1396,4.9,24.3,13.3,764,289,1.1,12.1,6.6,0
"5","DC 1",5,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,5,50.2779999,7.401,20.5739994,13.9870005,3.21,17.9300003,1396,4.9,24.3,13.3,764,66,6.5,21.7,14.1,68
"6","DC 1",6,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,6,0,13.026,28.5799999,20.8030014,5.4489999,29.1009998,1396,4.9,24.3,13.3,764,2,11.1,28.5,19.8,170
"7","DC 1",7,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,7,0,16.2700005,33.2770004,24.7730007,9.5760002,41.4690018,1396,4.9,24.3,13.3,764,1,15.3,33.3,24.3,196
"8","DC 1",8,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,8,36.0400009,13.9020004,29.3110008,21.6060009,5.8249998,30.8279991,1396,4.9,24.3,13.3,764,27,13.2,29.6,21.4,131
"9","DC 1",9,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,9,3.484,13.9180002,29.4669991,21.6920013,9.3920002,36.9869995,1396,4.9,24.3,13.3,764,5,12.4,30.2,21.3,125
"10","DC 1",10,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,10,5.54,10.7250004,26.6079998,18.6660004,7.7410002,29.4659996,1396,4.9,24.3,13.3,764,15,8.5,25.8,17.2,74
"11","DC 1",11,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,11,132.8209991,1.696,10.5550003,6.1250005,1.3279999,7.1100001,1396,4.9,24.3,13.3,764,136,0.7,11.5,6.1,0
"12","DC 1",12,2003,1523.9500732,6.9020004,19.6890011,13.295001,3.9540002,19.2730007,12,511.5379944,0.852,8.052,4.4510002,0.688,4.8579998,1396,4.9,24.3,13.3,764,452,0.9,8.9,4.9,0
"13","DC 1",1,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,1,181.4049988,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,1295,4.8,22.6,13.2,847,159,-0.3,9.9,4.8,0
"14","DC 1",2,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,2,370.6099854,-0.366,8.8559999,4.2450004,0.689,NA,1295,4.8,22.6,13.2,847,364,0,9.7,4.8,0
"15","DC 1",3,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,3,52.3069992,5.0370002,19.3460007,12.1910009,2.9100001,NA,1295,4.8,22.6,13.2,847,54,4.7,19.2,12,31
"16","DC 1",4,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,4,45.6640015,4.7010002,19.2119999,11.9560003,2.9100001,NA,1295,4.8,22.6,13.2,847,26,5,19.4,12.2,78
"17","DC 1",5,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,5,21.6879997,7.2540002,22.1359997,14.6940002,3.0039999,NA,1295,4.8,22.6,13.2,847,23,6.7,22.2,14.5,114
"18","DC 1",6,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,6,1.973,12.6300001,28.0879993,20.3590012,6.427,NA,1295,4.8,22.6,13.2,847,3,10.8,27.8,19.3,165
"19","DC 1",7,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,7,0.889,15.0699997,31.3080006,23.1880016,8.4849997,NA,1295,4.8,22.6,13.2,847,1,13.8,31.3,22.6,185
"20","DC 1",8,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,8,0,14.5839996,30.9850006,22.7840004,9.5539999,NA,1295,4.8,22.6,13.2,847,1,13.4,31,22.2,165
"21","DC 1",9,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,9,8.3479996,11.0609999,27.9179993,19.4880009,8.3120003,NA,1295,4.8,22.6,13.2,847,14,10.3,28.1,19.2,109
"22","DC 1",10,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,10,207.5639954,7.0250001,19.0130005,13.019001,4.1729999,NA,1295,4.8,22.6,13.2,847,212,5.6,19.4,12.5,0
"23","DC 1",11,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,11,111.0299988,1.9579999,11.9709997,6.9630003,1.092,NA,1295,4.8,22.6,13.2,847,113,1.7,13.5,7.6,0
"24","DC 1",12,2004,1293.9490967,6.5620003,19.8990002,13.2300005,4.1630001,20.0200005,12,292.4719849,0.452,10.3999996,5.4250002,1.66,NA,1295,4.8,22.6,13.2,847,325,1.1,11.2,6.2,0
"25","DC 1",1,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,1,290.8900146,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,1775,5.5,24.3,13,583,252,0.9,10.2,5.5,0
"26","DC 1",2,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,2,154.8670044,2.1700001,11.6099997,6.8890004,1.274,7.6090002,1775,5.5,24.3,13,583,143,2.2,12.3,7.2,0
"27","DC 1",3,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,3,356.3359985,2.4070001,14.3079996,8.3570004,1.918,11.3839998,1775,5.5,24.3,13,583,284,2.6,14.9,8.8,0
"28","DC 1",4,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,4,134.621994,2.0039999,15.3929996,8.6970005,1.173,11.651,1775,5.5,24.3,13,583,104,2.5,16.3,9.4,0
"29","DC 1",5,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,5,258.0140076,7.2270002,19.2859993,13.2560005,2.227,14.6719999,1775,5.5,24.3,13,583,156,7,20,13.5,0
"30","DC 1",6,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,6,91.2969971,9.0649996,22.934,15.9990005,3.1570001,19.3269997,1775,5.5,24.3,13,583,55,8.2,23.4,15.8,88
"31","DC 1",7,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,7,0,16.4430008,32.4910011,24.467001,7.5469999,37.1329994,1775,5.5,24.3,13,583,1,15.4,33.1,24.3,195
"32","DC 1",8,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,8,0,15.3529997,32.0229988,23.6870003,9.7910004,39.8050003,1775,5.5,24.3,13,583,2,14.3,32.1,23.2,170
"33","DC 1",9,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,9,16.5839996,9.8710003,25.8619995,17.8660011,5.9749999,27.2830009,1775,5.5,24.3,13,583,18,9.2,26.1,17.7,97
"34","DC 1",10,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,10,43.1889992,7.3610001,20.9829998,14.1720009,3.3800001,18.5149994,1775,5.5,24.3,13,583,42,6.4,21.4,13.9,33
"35","DC 1",11,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,11,163.246994,4.6880002,14.4040003,9.5460005,2.349,12.8909998,1775,5.5,24.3,13,583,153,3.9,15.9,9.9,0
"36","DC 1",12,2005,2367.8041992,6.5720005,19.0890007,12.8300009,3.4100001,17.7700005,12,858.7589722,1.969,10.2119999,6.0890002,0.831,5.947,1775,5.5,24.3,13,583,565,2.2,10.8,6.5,0
"37","DC 1",1,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,1,356.2799988,6.5470004,19.073,12.809001,3.9570003,18.7520008,1641,3.8,24.2,12.9,804,262,1,9.8,5.4,0
"38","DC 1",2,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,2,232.1089935,0.772,12.8299999,6.8000002,2.3050001,11.0039997,1641,3.8,24.2,12.9,804,237,0.7,13.3,7,0
"39","DC 1",3,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,3,450.8299866,-1.392,6.869,2.7380002,0.279,4.4780002,1641,3.8,24.2,12.9,804,408,-0.9,8.5,3.8,0
"40","DC 1",4,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,4,467.0069885,3.0769999,13.8330002,8.4540005,0.698,9.1090002,1641,3.8,24.2,12.9,804,314,3.8,15,9.4,0
"41","DC 1",5,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,5,47.3839989,8.8319998,23.0400009,15.9350004,3.609,20.9939995,1641,3.8,24.2,12.9,804,38,8.1,23.2,15.7,102
"42","DC 1",6,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,6,0.719,13.5270004,28.5030003,21.0150013,5.9580002,29.8670006,1641,3.8,24.2,12.9,804,4,12.3,28.7,20.5,166
"43","DC 1",7,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,7,0,16.4810009,33.0579987,24.769001,10.0310001,41.4370003,1641,3.8,24.2,12.9,804,1,15.5,32.9,24.2,192
"44","DC 1",8,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,8,0,13.4820004,29.8519993,21.6660004,8.1490002,34.4760017,1641,3.8,24.2,12.9,804,1,13,30.6,21.8,163
"45","DC 1",9,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,9,0,11.8009996,28.3369999,20.0680008,8.7349997,33.1150017,1641,3.8,24.2,12.9,804,3,10.8,28.2,19.5,119
"46","DC 1",10,2006,1957.1411133,6.5470004,19.073,12.809001,3.9570003,18.7520008,10,13.1750002,7.0560002,20.9370003,13.9960003,4.2290001,18.9969997,1641,3.8,24.2,12.9,804,13,5.8,21,13.4,62
