"","Site_code","Month","WY","ppt_pM","tmax_pM","tmin_pM","tavg_pM","vpdmin_pM","vpdmax_pM","tmax_cM","tmin_cM","tavg_cM","ppt_cM","cmd_cM","ppt_pA","tmax_pA","tmin_pA","tavg_pA","vpdmin_pA","vpdmax_pA","ppt_cA","tmax_cA","tmin_cA","tavg_cA","cmd_cA"
"1","DC 1",10,2003,0,22.5639992,7.1350002,14.8490009,4.8369999,21.9279995,22.8,5.6,14.2,0,82,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"2","DC 1",11,2003,238.3999939,16.1599998,5.1020002,10.6310005,3.5380001,12.8979998,16.7,3.4,10,200,0,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"3","DC 1",12,2003,597.3699951,8.1529999,0.68,4.4160004,1,5.0890002,9,0.4,4.7,529,0,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"4","DC 1",1,2003,143.6490021,13.8269997,2.7690001,8.2969999,1.377,9.2189999,14,3.7,8.9,131,0,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"5","DC 1",2,2003,102.0579987,11.7340002,0.052,5.8930001,1.278,8.4460001,11.9,-0.3,5.8,99,0,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"6","DC 1",3,2003,187.9049988,13.8319998,1.2870001,7.5590005,0.96,9.4399996,15.3,2.2,8.7,173,0,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"7","DC 1",4,2003,350.6380005,10.4569998,0.929,5.6920004,0.633,6.4330001,12.1,1.1,6.6,289,0,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"8","DC 1",5,2003,50.2779999,20.5739994,7.4010005,13.9870005,3.21,17.9300003,21.7,6.5,14.1,66,68,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"9","DC 1",6,2003,0,28.5799999,13.026001,20.8030014,5.4489999,29.1009998,28.5,11.1,19.8,2,170,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"10","DC 1",7,2003,0,33.2770004,16.2700005,24.7730007,9.5760002,41.4690018,33.3,15.3,24.3,1,196,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"11","DC 1",8,2003,36.0400009,29.3110008,13.9020004,21.6060009,5.8249998,30.8279991,29.6,13.2,21.4,27,131,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"12","DC 1",9,2003,3.484,29.4669991,13.9180002,21.6920013,9.3920002,36.9869995,30.2,12.4,21.3,5,125,142.485165825,19.8279998333333,6.8725836,13.3498339583333,3.922916675,19.1473333083333,126.833333333333,20.425,6.21666666666667,13.3166666666667,64.3333333333333
"13","DC 1",10,2004,5.54,26.6079998,10.7250004,18.6660004,7.7410002,29.4659996,25.8,8.5,17.2,15,74,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"14","DC 1",11,2004,132.8209991,10.5550003,1.6950001,6.1250005,1.3279999,7.1100001,11.5,0.7,6.1,136,0,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
"15","DC 1",12,2004,511.5379944,8.052,0.851,4.4510002,0.688,4.8579998,8.9,0.9,4.9,452,0,111.065248141667,20.2190833083333,6.88166699166667,13.5499172583333,4.39950000833333,20.4782501416667,104,20.4,6.20833333333333,13.3166666666667,76.75
