Year,Old_site_code,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,MAP,CMD
2003,DC 1,39.2957,-120.8865,957.96,13.3,24.3,4.9,1396,764
2003,DC 2,39.268166,-121.000817,766.85,14.6,25.7,6.4,1311,798
2003,DC 4,39.2603646,-121.0320418,705.94,15.1,26.3,7,1249,812
2003,DC 6,39.239,-121.1872,366.76,16.6,28,8.2,922,882
2003,DC 8,39.2302,-121.2442,247.16,16.8,28.3,8.2,815,901
2003,DC 9,39.2282,-121.2468,237.46,16.9,28.4,8.2,807,902
2003,DC 11,39.2615,-121.0137,754.65,14.7,25.9,6.6,1292,801
2003,DC 12,39.26032,-121.01077,759.56,14.7,25.9,6.6,1297,798
2003,DC 13,39.25901,-121.00943,762.44,14.7,25.8,6.5,1300,798
2003,DC 15,39.201,-121.1772,426.16,16.4,27.6,8.1,947,866
2003,DC 16,39.22895,-121.24228,276.54,16.8,28.2,8.2,833,892
2004,DC 1,39.2957,-120.8865,957.96,13.2,22.6,4.8,1295,847
2004,DC 2,39.268166,-121.000817,766.85,14.5,24,6.2,1209,892
2004,DC 4,39.2603646,-121.0320418,705.94,15.1,24.5,6.7,1149,907
2004,DC 6,39.239,-121.1872,366.76,16.6,26.2,7.6,856,990
2004,DC 8,39.2302,-121.2442,247.16,16.8,26.5,7.5,773,1011
2004,DC 9,39.2282,-121.2468,237.46,16.9,26.6,7.5,766,1012
2004,DC 11,39.2615,-121.0137,754.65,14.7,24.1,6.3,1190,895
2004,DC 12,39.26032,-121.01077,759.56,14.6,24.1,6.3,1195,894
2004,DC 13,39.25901,-121.00943,762.44,14.6,24.1,6.3,1197,893
2004,DC 15,39.201,-121.1772,426.16,16.3,25.8,7.5,882,970
2004,DC 16,39.22895,-121.24228,276.54,16.8,26.4,7.5,787,1005
2005,DC 1,39.2957,-120.8865,957.96,13,24.3,5.5,1775,583
2005,DC 2,39.268166,-121.000817,766.85,14.3,25.8,6.9,1635,626
2005,DC 4,39.2603646,-121.0320418,705.94,14.9,26.3,7.4,1551,641
2005,DC 6,39.239,-121.1872,366.76,16.4,28,8.4,1127,776
2005,DC 8,39.2302,-121.2442,247.16,16.6,28.4,8.2,993,821
2005,DC 9,39.2282,-121.2468,237.46,16.7,28.5,8.2,983,823
2005,DC 11,39.2615,-121.0137,754.65,14.5,25.9,7.1,1608,629
2005,DC 12,39.26032,-121.01077,759.56,14.4,25.9,7,1616,629
2005,DC 13,39.25901,-121.00943,762.44,14.4,25.8,7,1620,628
2005,DC 15,39.201,-121.1772,426.16,16.1,27.7,8.2,1162,756
2005,DC 16,39.22895,-121.24228,276.54,16.6,28.3,8.2,1014,810
2006,DC 1,39.2957,-120.8865,957.96,12.9,24.2,3.8,1641,804
2006,DC 2,39.268166,-121.000817,766.85,14.2,25.8,5.2,1521,842
2006,DC 4,39.2603646,-121.0320418,705.94,14.8,26.3,5.7,1439,853
2006,DC 6,39.239,-121.1872,366.76,16.3,28.1,7.6,1033,913
2006,DC 8,39.2302,-121.2442,247.16,16.5,28.5,8,914,928
2006,DC 9,39.2282,-121.2468,237.46,16.5,28.6,8,905,929
2006,DC 11,39.2615,-121.0137,754.65,14.4,25.9,5.3,1494,843
2006,DC 12,39.26032,-121.01077,759.56,14.3,25.9,5.3,1501,843
2006,DC 13,39.25901,-121.00943,762.44,14.3,25.9,5.2,1505,843
2006,DC 15,39.201,-121.1772,426.16,16,27.8,7.3,1067,896
2006,DC 16,39.22895,-121.24228,276.54,16.4,28.4,7.9,933,922
2007,DC 1,39.2957,-120.8865,957.96,13.2,22.9,3.4,1082,734
2007,DC 2,39.268166,-121.000817,766.85,14.5,24.2,4.9,998,796
2007,DC 4,39.2603646,-121.0320418,705.94,15.1,24.7,5.5,941,818
2007,DC 6,39.239,-121.1872,366.76,16.5,26.3,6.8,671,959
2007,DC 8,39.2302,-121.2442,247.16,16.7,26.6,6.8,598,1003
2007,DC 9,39.2282,-121.2468,237.46,16.8,26.6,6.8,592,1005
2007,DC 11,39.2615,-121.0137,754.65,14.7,24.3,5.1,980,800
2007,DC 12,39.26032,-121.01077,759.56,14.6,24.3,5.1,985,799
