"","Year","Site_code","tavg_cA","tmax_cA","tmin_cA","ppt_cA","cmd_cA"
"1",2003,"DC 1",13.3,24.3,4.9,1396,764
"2",2003,"DC 2",14.6,25.7,6.4,1311,798
"3",2003,"DC 4",15.1,26.3,7,1249,812
"4",2003,"DC 6",16.6,28,8.2,922,882
"5",2003,"DC 8",16.8,28.3,8.2,815,901
"6",2003,"DC 9",16.9,28.4,8.2,807,902
"7",2003,"DC 11",14.7,25.9,6.6,1292,801
"8",2003,"DC 12",14.7,25.9,6.6,1297,798
"9",2003,"DC 13",14.7,25.8,6.5,1300,798
"10",2003,"DC 15",16.4,27.6,8.1,947,866
"11",2003,"DC 16",16.8,28.2,8.2,833,892
"12",2004,"DC 1",13.2,22.6,4.8,1295,847
"13",2004,"DC 2",14.5,24,6.2,1209,892
"14",2004,"DC 4",15.1,24.5,6.7,1149,907
"15",2004,"DC 6",16.6,26.2,7.6,856,990
"16",2004,"DC 8",16.8,26.5,7.5,773,1011
"17",2004,"DC 9",16.9,26.6,7.5,766,1012
"18",2004,"DC 11",14.7,24.1,6.3,1190,895
"19",2004,"DC 12",14.6,24.1,6.3,1195,894
"20",2004,"DC 13",14.6,24.1,6.3,1197,893
"21",2004,"DC 15",16.3,25.8,7.5,882,970
"22",2004,"DC 16",16.8,26.4,7.5,787,1005
"23",2005,"DC 1",13,24.3,5.5,1775,583
"24",2005,"DC 2",14.3,25.8,6.9,1635,626
"25",2005,"DC 4",14.9,26.3,7.4,1551,641
"26",2005,"DC 6",16.4,28,8.4,1127,776
"27",2005,"DC 8",16.6,28.4,8.2,993,821
"28",2005,"DC 9",16.7,28.5,8.2,983,823
"29",2005,"DC 11",14.5,25.9,7.1,1608,629
"30",2005,"DC 12",14.4,25.9,7,1616,629
"31",2005,"DC 13",14.4,25.8,7,1620,628
"32",2005,"DC 15",16.1,27.7,8.2,1162,756
"33",2005,"DC 16",16.6,28.3,8.2,1014,810
"34",2006,"DC 1",12.9,24.2,3.8,1641,804
"35",2006,"DC 2",14.2,25.8,5.2,1521,842
"36",2006,"DC 4",14.8,26.3,5.7,1439,853
"37",2006,"DC 6",16.3,28.1,7.6,1033,913
"38",2006,"DC 8",16.5,28.5,8,914,928
"39",2006,"DC 9",16.5,28.6,8,905,929
"40",2006,"DC 11",14.4,25.9,5.3,1494,843
"41",2006,"DC 12",14.3,25.9,5.3,1501,843
"42",2006,"DC 13",14.3,25.9,5.2,1505,843
"43",2006,"DC 15",16,27.8,7.3,1067,896
"44",2006,"DC 16",16.4,28.4,7.9,933,922
"45",2007,"DC 1",13.2,22.9,3.4,1082,734
"46",2007,"DC 2",14.5,24.2,4.9,998,796
"47",2007,"DC 4",15.1,24.7,5.5,941,818
"48",2007,"DC 6",16.5,26.3,6.8,671,959
"49",2007,"DC 8",16.7,26.6,6.8,598,1003
"50",2007,"DC 9",16.8,26.6,6.8,592,1005
"51",2007,"DC 11",14.7,24.3,5.1,980,800
"52",2007,"DC 12",14.6,24.3,5.1,985,799
"53",2007,"DC 13",14.6,24.3,5,988,798
"54",2007,"DC 15",16.2,25.9,6.6,692,933
"55",2007,"DC 16",16.7,26.5,6.8,609,992
"56",2008,"DC 1",13.3,23.2,3.4,1137,872
"57",2008,"DC 2",14.6,24.6,4.9,1049,935
"58",2008,"DC 4",15.2,25.1,5.4,988,951
"59",2008,"DC 6",16.7,26.7,6.5,708,1048
