Year,Old_site_code,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12
2003,DC 1,39.2957,-120.8865,957.96,14,11.9,15.3,12.1,21.7,28.5,33.3,29.6,30.2,25.8,11.5,8.9,3.7,-0.3,2.2,1.1,6.5,11.1,15.3,13.2,12.4,8.5,0.7,0.9,8.9,5.8,8.7,6.6,14.1,19.8,24.3,21.4,21.3,17.2,6.1,4.9,131,99,173,289,66,2,1,27,5,15,136,452,0,0,0,0,68,170,196,131,125,74,0,0
2003,DC 2,39.268166,-121.000817,766.85,15.6,13.7,16.8,13.4,22.7,29.7,34.7,30.9,31.5,27.4,13.3,11,4.5,0.9,3.4,2.4,7.7,12.4,16.8,14.5,13.7,9.6,1.7,1.8,10.1,7.3,10.1,7.9,15.2,21.1,25.7,22.7,22.6,18.5,7.5,6.4,130,98,161,264,65,2,1,26,4,12,130,418,0,0,0,0,73,175,201,137,130,82,0,0
2003,DC 4,39.2603646,-121.0320418,705.94,16.1,14.3,17.3,13.8,23.1,30.1,35.1,31.3,31.9,27.9,13.9,11.6,5,1.5,4,3,8.3,13,17.5,15.1,14.4,10.2,2.3,2.4,10.6,7.9,10.6,8.4,15.7,21.6,26.3,23.2,23.2,19,8.1,7,123,91,154,250,63,1,2,23,4,12,127,399,0,0,0,0,76,177,203,141,131,84,0,0
2003,DC 6,39.239,-121.1872,366.76,16.4,15.6,18.9,15.4,24.9,31.8,37.1,32.8,33.3,29.2,15.3,12.4,6.2,3.5,5.9,4.9,10.2,14.5,18.8,16.1,15.9,11.9,4,4.1,11.3,9.6,12.4,10.2,17.5,23.2,28,24.4,24.6,20.5,9.6,8.2,94,66,112,173,49,1,1,15,2,8,100,301,0,0,0,0,97,186,216,156,137,90,0,0
2003,DC 8,39.2302,-121.2442,247.16,15.8,15.6,19,15.8,25.5,32.3,37.7,32.9,33.3,29.2,15.2,12.1,6.4,4,6.5,5.4,10.6,14.8,19,16.2,16,12.2,4.3,4.3,11.1,9.8,12.8,10.6,18,23.6,28.3,24.5,24.7,20.7,9.8,8.2,86,63,100,148,45,1,0,12,1,7,88,263,0,0,0,0,104,189,219,160,138,91,0,0
2003,DC 9,39.2282,-121.2468,237.46,15.8,15.6,19,15.8,25.5,32.3,37.7,32.9,33.3,29.2,15.2,12.1,6.4,4.1,6.6,5.4,10.7,14.9,19,16.2,16,12.2,4.4,4.3,11.1,9.8,12.8,10.6,18.1,23.6,28.4,24.5,24.7,20.7,9.8,8.2,86,62,99,146,44,1,0,12,1,7,87,260,0,0,0,0,105,189,219,160,138,91,0,0
2003,DC 11,39.2615,-121.0137,754.65,15.8,13.9,16.9,13.5,22.8,29.8,34.7,31,31.6,27.5,13.5,11.2,4.7,1.1,3.6,2.5,7.9,12.6,17.1,14.7,14,9.8,1.9,2,10.2,7.5,10.2,8,15.4,21.2,25.9,22.9,22.8,18.7,7.7,6.6,127,96,159,260,64,1,1,25,4,12,129,412,0,0,0,0,74,176,201,138,130,82,0,0
2003,DC 12,39.26032,-121.01077,759.56,15.7,13.8,16.8,13.5,22.8,29.7,34.7,31,31.6,27.5,13.4,11.2,4.7,1,3.5,2.5,7.9,12.6,17,14.7,13.9,9.7,1.8,2,10.2,7.4,10.2,8,15.3,21.2,25.9,22.8,22.7,18.6,7.6,6.6,128,97,160,261,64,1,1,25,4,12,130,414,0,0,0,0,73,175,201,137,130,82,0,0
2003,DC 13,39.25901,-121.00943,762.44,15.7,13.8,16.8,13.4,22.7,29.7,34.7,30.9,31.5,27.5,13.4,11.1,4.6,1,3.5,2.5,7.9,12.5,17,14.7,13.9,9.7,1.8,1.9,10.2,7.4,10.1,7.9,15.3,21.1,25.8,22.8,22.7,18.6,7.6,6.5,128,97,160,262,64,1,1,25,4,12,130,415,0,0,0,0,73,175,201,137,130,82,0,0
2003,DC 15,39.201,-121.1772,426.16,16.3,15.4,18.6,15,24.5,31.3,36.6,32.3,32.8,28.8,15.2,12.4,6,3.2,5.6,4.7,10,14.3,18.6,16,15.7,11.7,3.8,3.8,11.2,9.3,12.1,9.9,17.2,22.8,27.6,24.1,24.2,20.3,9.5,8.1,94,69,117,183,50,1,1,15,2,8,102,306,0,0,0,0,94,183,211,154,135,89,0,0
