"","Day","tavg_cM","Month","Site_code","cmd_cM","tmin_cM","Date","Year","ppt_cM","tmax_cM"
"1","1",8.9,1,"DC 1",0,3.7,2003-01-01,2003,131,14
"2","1",5.8,2,"DC 1",0,-0.3,2003-02-01,2003,99,11.9
"3","1",8.7,3,"DC 1",0,2.2,2003-03-01,2003,173,15.3
"4","1",6.6,4,"DC 1",0,1.1,2003-04-01,2003,289,12.1
"5","1",14.1,5,"DC 1",68,6.5,2003-05-01,2003,66,21.7
"6","1",19.8,6,"DC 1",170,11.1,2003-06-01,2003,2,28.5
"7","1",24.3,7,"DC 1",196,15.3,2003-07-01,2003,1,33.3
"8","1",21.4,8,"DC 1",131,13.2,2003-08-01,2003,27,29.6
"9","1",21.3,9,"DC 1",125,12.4,2003-09-01,2003,5,30.2
"10","1",17.2,10,"DC 1",74,8.5,2003-10-01,2003,15,25.8
"11","1",6.1,11,"DC 1",0,0.7,2003-11-01,2003,136,11.5
"12","1",4.9,12,"DC 1",0,0.9,2003-12-01,2003,452,8.9
"13","1",10.1,1,"DC 2",0,4.5,2003-01-01,2003,130,15.6
"14","1",7.3,2,"DC 2",0,0.9,2003-02-01,2003,98,13.7
"15","1",10.1,3,"DC 2",0,3.4,2003-03-01,2003,161,16.8
"16","1",7.9,4,"DC 2",0,2.4,2003-04-01,2003,264,13.4
"17","1",15.2,5,"DC 2",73,7.7,2003-05-01,2003,65,22.7
"18","1",21.1,6,"DC 2",175,12.4,2003-06-01,2003,2,29.7
"19","1",25.7,7,"DC 2",201,16.8,2003-07-01,2003,1,34.7
"20","1",22.7,8,"DC 2",137,14.5,2003-08-01,2003,26,30.9
"21","1",22.6,9,"DC 2",130,13.7,2003-09-01,2003,4,31.5
"22","1",18.5,10,"DC 2",82,9.6,2003-10-01,2003,12,27.4
"23","1",7.5,11,"DC 2",0,1.7,2003-11-01,2003,130,13.3
"24","1",6.4,12,"DC 2",0,1.8,2003-12-01,2003,418,11
"25","1",10.6,1,"DC 4",0,5,2003-01-01,2003,123,16.1
"26","1",7.9,2,"DC 4",0,1.5,2003-02-01,2003,91,14.3
"27","1",10.6,3,"DC 4",0,4,2003-03-01,2003,154,17.3
"28","1",8.4,4,"DC 4",0,3,2003-04-01,2003,250,13.8
"29","1",15.7,5,"DC 4",76,8.3,2003-05-01,2003,63,23.1
"30","1",21.6,6,"DC 4",177,13,2003-06-01,2003,1,30.1
"31","1",26.3,7,"DC 4",203,17.5,2003-07-01,2003,2,35.1
"32","1",23.2,8,"DC 4",141,15.1,2003-08-01,2003,23,31.3
"33","1",23.2,9,"DC 4",131,14.4,2003-09-01,2003,4,31.9
"34","1",19,10,"DC 4",84,10.2,2003-10-01,2003,12,27.9
"35","1",8.1,11,"DC 4",0,2.3,2003-11-01,2003,127,13.9
"36","1",7,12,"DC 4",0,2.4,2003-12-01,2003,399,11.6
"37","1",11.3,1,"DC 6",0,6.2,2003-01-01,2003,94,16.4
"38","1",9.6,2,"DC 6",0,3.5,2003-02-01,2003,66,15.6
"39","1",12.4,3,"DC 6",0,5.9,2003-03-01,2003,112,18.9
"40","1",10.2,4,"DC 6",0,4.9,2003-04-01,2003,173,15.4
"41","1",17.5,5,"DC 6",97,10.2,2003-05-01,2003,49,24.9
"42","1",23.2,6,"DC 6",186,14.5,2003-06-01,2003,1,31.8
"43","1",28,7,"DC 6",216,18.8,2003-07-01,2003,1,37.1
"44","1",24.4,8,"DC 6",156,16.1,2003-08-01,2003,15,32.8
"45","1",24.6,9,"DC 6",137,15.9,2003-09-01,2003,2,33.3
"46","1",20.5,10,"DC 6",90,11.9,2003-10-01,2003,8,29.2
"47","1",9.6,11,"DC 6",0,4,2003-11-01,2003,100,15.3
"48","1",8.2,12,"DC 6",0,4.1,2003-12-01,2003,301,12.4
"49","1",11.1,1,"DC 8",0,6.4,2003-01-01,2003,86,15.8
"50","1",9.8,2,"DC 8",0,4,2003-02-01,2003,63,15.6
"51","1",12.8,3,"DC 8",0,6.5,2003-03-01,2003,100,19
"52","1",10.6,4,"DC 8",0,5.4,2003-04-01,2003,148,15.8
"53","1",18,5,"DC 8",104,10.6,2003-05-01,2003,45,25.5
"54","1",23.6,6,"DC 8",189,14.8,2003-06-01,2003,1,32.3
"55","1",28.3,7,"DC 8",219,19,2003-07-01,2003,0,37.7
"56","1",24.5,8,"DC 8",160,16.2,2003-08-01,2003,12,32.9
"57","1",24.7,9,"DC 8",138,16,2003-09-01,2003,1,33.3
"58","1",20.7,10,"DC 8",91,12.2,2003-10-01,2003,7,29.2
"59","1",9.8,11,"DC 8",0,4.3,2003-11-01,2003,88,15.2
"60","1",8.2,12,"DC 8",0,4.3,2003-12-01,2003,263,12.1
"61","1",11.1,1,"DC 9",0,6.4,2003-01-01,2003,86,15.8
"62","1",9.8,2,"DC 9",0,4.1,2003-02-01,2003,62,15.6
"63","1",12.8,3,"DC 9",0,6.6,2003-03-01,2003,99,19
"64","1",10.6,4,"DC 9",0,5.4,2003-04-01,2003,146,15.8
"65","1",18.1,5,"DC 9",105,10.7,2003-05-01,2003,44,25.5
"66","1",23.6,6,"DC 9",189,14.9,2003-06-01,2003,1,32.3
"67","1",28.4,7,"DC 9",219,19,2003-07-01,2003,0,37.7
"68","1",24.5,8,"DC 9",160,16.2,2003-08-01,2003,12,32.9
"69","1",24.7,9,"DC 9",138,16,2003-09-01,2003,1,33.3
"70","1",20.7,10,"DC 9",91,12.2,2003-10-01,2003,7,29.2
"71","1",9.8,11,"DC 9",0,4.4,2003-11-01,2003,87,15.2
"72","1",8.2,12,"DC 9",0,4.3,2003-12-01,2003,260,12.1
"73","1",10.2,1,"DC 11",0,4.7,2003-01-01,2003,127,15.8
"74","1",7.5,2,"DC 11",0,1.1,2003-02-01,2003,96,13.9
"75","1",10.2,3,"DC 11",0,3.6,2003-03-01,2003,159,16.9
"76","1",8,4,"DC 11",0,2.5,2003-04-01,2003,260,13.5
"77","1",15.4,5,"DC 11",74,7.9,2003-05-01,2003,64,22.8
"78","1",21.2,6,"DC 11",176,12.6,2003-06-01,2003,1,29.8
"79","1",25.9,7,"DC 11",201,17.1,2003-07-01,2003,1,34.7
"80","1",22.9,8,"DC 11",138,14.7,2003-08-01,2003,25,31
"81","1",22.8,9,"DC 11",130,14,2003-09-01,2003,4,31.6
"82","1",18.7,10,"DC 11",82,9.8,2003-10-01,2003,12,27.5
"83","1",7.7,11,"DC 11",0,1.9,2003-11-01,2003,129,13.5
"84","1",6.6,12,"DC 11",0,2,2003-12-01,2003,412,11.2
"85","1",10.2,1,"DC 12",0,4.7,2003-01-01,2003,128,15.7
"86","1",7.4,2,"DC 12",0,1,2003-02-01,2003,97,13.8
"87","1",10.2,3,"DC 12",0,3.5,2003-03-01,2003,160,16.8
"88","1",8,4,"DC 12",0,2.5,2003-04-01,2003,261,13.5
"89","1",15.3,5,"DC 12",73,7.9,2003-05-01,2003,64,22.8
"90","1",21.2,6,"DC 12",175,12.6,2003-06-01,2003,1,29.7
"91","1",25.9,7,"DC 12",201,17,2003-07-01,2003,1,34.7
"92","1",22.8,8,"DC 12",137,14.7,2003-08-01,2003,25,31
"93","1",22.7,9,"DC 12",130,13.9,2003-09-01,2003,4,31.6
"94","1",18.6,10,"DC 12",82,9.7,2003-10-01,2003,12,27.5
"95","1",7.6,11,"DC 12",0,1.8,2003-11-01,2003,130,13.4
