"","Site_code","Year","ppt_pA","tmax_pA","tmin_pA","tavg_pA","vpdmin_pA","vpdmax_pA"
"1","DC 1",2003,1523.9500732,19.6890011,6.9020004,13.295001,3.9540002,19.2730007
"2","DC 1",2004,1293.9490967,19.8990002,6.5620003,13.2300005,4.1630001,20.0200005
"3","DC 1",2005,2367.8041992,19.0890007,6.5720005,12.8300009,3.4100001,17.7700005
"4","DC 1",2006,1957.1411133,19.073,6.5470004,12.809001,3.9570003,18.7520008
"5","DC 1",2007,1188.0980225,19.7340012,6.4650002,13.0990009,3.8500001,19.6530018
"6","DC 1",2008,1175.6610107,19.9760017,6.7900004,13.3830004,4.9560003,21.1250019
"7","DC 1",2009,1422.743042,19.5410004,7.0670004,13.3040009,4.5480003,19.4750004
"8","DC 1",2010,2304.2780762,17.8770008,6.4210005,12.1480007,3.2830002,16.7680016
"9","DC 1",2011,1490.8570557,18.1190014,6.2950001,12.2060003,3.4340003,16.6930008
"10","DC 1",2012,2282.2800293,19.5300007,7.5230002,13.526001,4.8310003,19.5950012
"11","DC 1",2013,522.0140381,20.0560017,7.3750005,13.7150011,4.8670001,19.3440018
"12","DC 1",2014,1616.8790283,20.2730007,9.1310005,14.7020006,5.1830001,19.2440014
"13","DC 1",2015,973.3650513,20.4400005,8.6830006,14.5610008,4.9890003,19.3950005
"14","DC 1",2016,2174.4001465,19.4350014,7.8130002,13.6230011,4.6480002,18.2830009
"15","DC 1",2021,1463.4440918,20.2427998,8.4099998,14.3262997,4.9991999,20.7573986
"16","DC 1",2022,1077.1539307,20.289299,8.4931002,14.3910999,5.5030999,20.2332001
"17","DC 2",2003,1414.2770996,19.8310013,7.3890004,13.6090002,3.2540002,17.3630009
"18","DC 2",2004,1287.4720459,19.9410019,7.2070003,13.5730009,3.5330002,18.4080009
"19","DC 2",2005,2091.2001953,19.3070011,7.2560005,13.2810011,2.8230002,16.6130009
"20","DC 2",2006,1770.81604,19.210001,7.0840001,13.1460009,3.4690001,17.6170006
"21","DC 2",2007,1136.9360352,19.8400002,6.8280005,13.3340006,3.3220003,18.6500015
"22","DC 2",2008,1050.1640625,20.026001,7.0160003,13.5200005,4.2680001,19.9060001
"23","DC 2",2009,1301.1430664,19.6340008,7.2220001,13.4280005,3.8780003,18.6070004
"24","DC 2",2010,2067.7341309,18.3450012,6.8480005,12.5960007,2.5220001,15.6570005
"25","DC 2",2011,1339.4990234,18.4230003,6.6810002,12.5510006,2.799,15.762001
"26","DC 2",2012,2092.9736328,19.9900017,7.8460002,13.9170008,3.9470003,18.835001
"27","DC 2",2013,441.6890259,20.5290012,7.6550002,14.0910006,4.2990003,19.276001
"28","DC 2",2014,1470.8291016,20.9200001,9.5910006,15.2550011,4.8920002,19.7700005
"29","DC 2",2015,837.8790283,21.0220013,9.1010008,15.0610008,4.7420001,19.8220005
"30","DC 2",2016,1864.1900635,20.2840004,7.8470006,14.0650005,4.1100001,18.6620007
"31","DC 2",2021,1276.8496094,21.0403004,8.6490002,14.8445997,4.5704999,21.5261002
"32","DC 2",2022,921.4229736,21.4521999,8.7958002,15.1239996,5.2368999,22.1085987
"33","DC 13",2003,1414.2770996,19.8310013,7.3890004,13.6090002,3.2540002,17.3630009
"34","DC 13",2004,1287.4720459,19.9410019,7.2070003,13.5730009,3.5330002,18.4080009
"35","DC 13",2005,2091.2001953,19.3070011,7.2560005,13.2810011,2.8230002,16.6130009
"36","DC 13",2006,1770.81604,19.210001,7.0840001,13.1460009,3.4690001,17.6170006
"37","DC 13",2007,1136.9360352,19.8400002,6.8280005,13.3340006,3.3220003,18.6500015
"38","DC 13",2008,1050.1640625,20.026001,7.0160003,13.5200005,4.2680001,19.9060001
"39","DC 13",2009,1301.1430664,19.6340008,7.2220001,13.4280005,3.8780003,18.6070004
"40","DC 13",2010,2067.7341309,18.3450012,6.8480005,12.5960007,2.5220001,15.6570005
"41","DC 13",2011,1339.4990234,18.4230003,6.6810002,12.5510006,2.799,15.762001
"42","DC 13",2012,2092.9736328,19.9900017,7.8460002,13.9170008,3.9470003,18.835001
"43","DC 13",2013,441.6890259,20.5290012,7.6550002,14.0910006,4.2990003,19.276001
"44","DC 13",2014,1470.8291016,20.9200001,9.5910006,15.2550011,4.8920002,19.7700005
"45","DC 13",2015,837.8790283,21.0220013,9.1010008,15.0610008,4.7420001,19.8220005
"46","DC 13",2016,1864.1900635,20.2840004,7.8470006,14.0650005,4.1100001,18.6620007
"47","DC 13",2021,1276.8496094,21.0403004,8.6490002,14.8445997,4.5704999,21.5261002
"48","DC 13",2022,921.4229736,21.4521999,8.7958002,15.1239996,5.2368999,22.1085987
"49","DC 12",2003,1414.2770996,19.8310013,7.3890004,13.6090002,3.2540002,17.3630009
"50","DC 12",2004,1287.4720459,19.9410019,7.2070003,13.5730009,3.5330002,18.4080009
"51","DC 12",2005,2091.2001953,19.3070011,7.2560005,13.2810011,2.8230002,16.6130009
"52","DC 12",2006,1770.81604,19.210001,7.0840001,13.1460009,3.4690001,17.6170006
"53","DC 12",2007,1136.9360352,19.8400002,6.8280005,13.3340006,3.3220003,18.6500015
"54","DC 12",2008,1050.1640625,20.026001,7.0160003,13.5200005,4.2680001,19.9060001
"55","DC 12",2009,1301.1430664,19.6340008,7.2220001,13.4280005,3.8780003,18.6070004
"56","DC 12",2010,2067.7341309,18.3450012,6.8480005,12.5960007,2.5220001,15.6570005
"57","DC 12",2011,1339.4990234,18.4230003,6.6810002,12.5510006,2.799,15.762001
"58","DC 12",2012,2092.9736328,19.9900017,7.8460002,13.9170008,3.9470003,18.835001
"59","DC 12",2013,441.6890259,20.5290012,7.6550002,14.0910006,4.2990003,19.276001
"60","DC 12",2014,1470.8291016,20.9200001,9.5910006,15.2550011,4.8920002,19.7700005
"61","DC 12",2015,837.8790283,21.0220013,9.1010008,15.0610008,4.7420001,19.8220005
"62","DC 12",2016,1864.1900635,20.2840004,7.8470006,14.0650005,4.1100001,18.6620007
"63","DC 12",2021,1276.8496094,21.0403004,8.6490002,14.8445997,4.5704999,21.5261002
"64","DC 12",2022,921.4229736,21.4521999,8.7958002,15.1239996,5.2368999,22.1085987
"65","DC 11",2003,1414.2770996,19.8310013,7.3890004,13.6090002,3.2540002,17.3630009
"66","DC 11",2004,1287.4720459,19.9410019,7.2070003,13.5730009,3.5330002,18.4080009
"67","DC 11",2005,2091.2001953,19.3070011,7.2560005,13.2810011,2.8230002,16.6130009
"68","DC 11",2006,1770.81604,19.210001,7.0840001,13.1460009,3.4690001,17.6170006
"69","DC 11",2007,1136.9360352,19.8400002,6.8280005,13.3340006,3.3220003,18.6500015
"70","DC 11",2008,1050.1640625,20.026001,7.0160003,13.5200005,4.2680001,19.9060001
"71","DC 11",2009,1301.1430664,19.6340008,7.2220001,13.4280005,3.8780003,18.6070004
"72","DC 11",2010,2067.7341309,18.3450012,6.8480005,12.5960007,2.5220001,15.6570005
"73","DC 11",2011,1339.4990234,18.4230003,6.6810002,12.5510006,2.799,15.762001
"74","DC 11",2012,2092.9736328,19.9900017,7.8460002,13.9170008,3.9470003,18.835001
"75","DC 11",2013,441.6890259,20.5290012,7.6550002,14.0910006,4.2990003,19.276001
"76","DC 11",2014,1470.8291016,20.9200001,9.5910006,15.2550011,4.8920002,19.7700005
"77","DC 11",2015,837.8790283,21.0220013,9.1010008,15.0610008,4.7420001,19.8220005
"78","DC 11",2016,1864.1900635,20.2840004,7.8470006,14.0650005,4.1100001,18.6620007
"79","DC 11",2021,1276.8496094,21.0403004,8.6490002,14.8445997,4.5704999,21.5261002
"80","DC 11",2022,921.4229736,21.4521999,8.7958002,15.1239996,5.2368999,22.1085987
"81","DC 4",2003,1334.5550537,20.5410004,7.4610004,14.000001,3.1020002,18.118
"82","DC 4",2004,1195.1080322,20.6730003,7.3220005,13.9960003,3.4440002,19.1880016
"83","DC 4",2005,1984.0650635,20.0300007,7.4220004,13.7250004,2.7820001,17.3740005
"84","DC 4",2006,1684.0010986,19.993,7.2160006,13.604001,3.4080002,18.5840015
"85","DC 4",2007,1072.2370605,20.6010017,6.8660002,13.7330008,3.2260001,19.4540005
"86","DC 4",2008,983.2220459,20.6990013,7.0320005,13.8650007,4.1340003,20.6300011
"87","DC 4",2009,1165.302002,20.3000011,7.3320003,13.8150005,3.8260002,19.3740005
"88","DC 4",2010,1932.3730469,18.9880009,7.0670004,13.0270004,2.4640002,16.2259998
"89","DC 4",2011,1242.1000977,19.0860004,6.8250003,12.9550009,2.6920002,16.4250011
"90","DC 4",2012,1903.8951416,20.5390015,7.9240003,14.2310009,3.7690003,19.3340015
"91","DC 4",2013,409.5040283,21.1710014,7.7000003,14.4350004,4.1140003,19.9490013
"92","DC 4",2014,1375.1660156,21.5830002,9.6200008,15.6010008,4.585,20.3220005
"93","DC 4",2015,754.3200073,21.6740017,9.0300007,15.3520012,4.3830004,20.4160004
"94","DC 4",2016,1746.1070557,20.8170013,8.0799999,14.4480009,3.8660002,19.1190014
"95","DC 4",2021,1214.6523438,21.6821003,8.8287001,15.2552996,4.322,22.2202988
"96","DC 4",2022,903.5995483,22.0035,8.8793993,15.4413996,5.0257998,22.5676003
"97","DC 6",2003,986.2040405,22.5830002,8.9280005,15.7550011,3.2940001,20.8340015
"98","DC 6",2004,839.7460327,22.769001,8.8390007,15.8030005,3.6320002,21.8030014
"99","DC 6",2005,1358.5450439,22.0750008,8.9850006,15.5300007,2.9190001,19.5690002
"100","DC 6",2006,1194.2940674,22.1270008,8.7020006,15.4140005,3.4160001,20.9960003
"101","DC 6",2007,763.1880493,22.6900005,8.25,15.4690008,3.2890003,21.6140003
"102","DC 6",2008,691.434021,22.8370018,8.4950008,15.6650009,4.1830001,23.1420002
"103","DC 6",2009,807.4890137,22.2790012,8.9790001,15.6280012,4.0670004,21.6980019
"104","DC 6",2010,1397.2640381,21.0620003,8.8980007,14.979001,2.9430001,18.4630013
"105","DC 6",2011,904.2480469,21.0340004,8.3940001,14.7130003,2.9510002,18.6740017
"106","DC 6",2012,1426.2229004,22.4030018,9.3130007,15.8570004,3.9250002,21.5180016
"107","DC 6",2013,304.4980164,23.0860004,9.1800003,16.132,4.0670004,22.4360008
"108","DC 6",2014,1099.5880127,23.6310005,10.677,17.1540012,4.2900004,22.6880016
"109","DC 6",2015,560.0780029,23.545002,10.1500006,16.8470001,4.1700001,22.5730019
"110","DC 6",2016,1375.842041,22.6650009,9.8030005,16.2340012,3.7470002,21.1060009
"111","DC 6",2021,1028.7214355,23.3106995,9.7328997,16.5216999,3.9945998,24.0207996
"112","DC 6",2022,747.2323608,23.5774994,9.8395996,16.7084999,4.8958001,24.5137997
"113","DC 8",2003,785.375061,22.901001,10.1210003,16.5110016,3.085,20.0930004
"114","DC 8",2004,683.7030029,22.979002,10.026,16.5020008,3.4030001,20.7720013
"115","DC 8",2005,1011.3540649,22.526001,10.1580009,16.3410015,2.6810002,19.1290016
"116","DC 8",2006,921.8110352,22.6010017,9.9680004,16.2840004,3.2770002,20.5310001
"117","DC 8",2007,597.9180298,22.9880009,9.3770008,16.1820011,3.1260002,21.1880016
"118","DC 8",2008,584.7310181,23.1610012,9.6270008,16.3930016,4.04,22.5150013
"119","DC 8",2009,646.5630493,22.7560005,9.6920004,16.2240009,3.5120001,21.1100006
"120","DC 8",2010,1170.6650391,21.7140007,9.8640003,15.7880011,2.7400002,18.3780003
"121","DC 8",2011,780.2790527,21.7130013,9.2490005,15.4810009,2.618,18.5010014
"122","DC 8",2012,1199.2719727,22.927002,10.0900002,16.5080013,3.5790002,21.1230011
"123","DC 8",2013,249.128006,23.597002,9.8040009,16.7000008,3.5930002,22.3300018
"124","DC 8",2014,914.6200562,24.2580013,11.5570002,17.9070015,3.9140003,22.5080013
"125","DC 8",2015,453.2230225,24.0210018,11.0120001,17.5160007,3.8340001,22.1190014
