"","Site_code","vpdmin_pM","Month","Day","vpdmax_pM","Year","tmax_pM","Date","tmin_pM","tavg_pM","ppt_pM"
"1","DC 1",3.9540002,1,"1",19.2730007,2003,19.6890011,2003-01-01,6.9020004,13.295001,143.6490021
"2","DC 1",1.278,2,"1",8.4460001,2003,11.7340002,2003-02-01,0.052,5.8930001,102.0579987
"3","DC 1",0.96,3,"1",9.4399996,2003,13.8319998,2003-03-01,1.288,7.5590005,187.9049988
"4","DC 1",0.633,4,"1",6.4330001,2003,10.4569998,2003-04-01,0.929,5.6920004,350.6380005
"5","DC 1",3.21,5,"1",17.9300003,2003,20.5739994,2003-05-01,7.401,13.9870005,50.2779999
"6","DC 1",5.4489999,6,"1",29.1009998,2003,28.5799999,2003-06-01,13.026,20.8030014,0
"7","DC 1",9.5760002,7,"1",41.4690018,2003,33.2770004,2003-07-01,16.2700005,24.7730007,0
"8","DC 1",5.8249998,8,"1",30.8279991,2003,29.3110008,2003-08-01,13.9020004,21.6060009,36.0400009
"9","DC 1",9.3920002,9,"1",36.9869995,2003,29.4669991,2003-09-01,13.9180002,21.6920013,3.484
"10","DC 1",7.7410002,10,"1",29.4659996,2003,26.6079998,2003-10-01,10.7250004,18.6660004,5.54
"11","DC 1",1.3279999,11,"1",7.1100001,2003,10.5550003,2003-11-01,1.696,6.1250005,132.8209991
"12","DC 1",0.688,12,"1",4.8579998,2003,8.052,2003-12-01,0.852,4.4510002,511.5379944
"13","DC 1",4.1630001,1,"1",20.0200005,2004,19.8990002,2004-01-01,6.5620003,13.2300005,181.4049988
"14","DC 1",0.689,2,"1",NA,2004,8.8559999,2004-02-01,-0.366,4.2450004,370.6099854
"15","DC 1",2.9100001,3,"1",NA,2004,19.3460007,2004-03-01,5.0370002,12.1910009,52.3069992
"16","DC 1",2.9100001,4,"1",NA,2004,19.2119999,2004-04-01,4.7010002,11.9560003,45.6640015
"17","DC 1",3.0039999,5,"1",NA,2004,22.1359997,2004-05-01,7.2540002,14.6940002,21.6879997
"18","DC 1",6.427,6,"1",NA,2004,28.0879993,2004-06-01,12.6300001,20.3590012,1.973
"19","DC 1",8.4849997,7,"1",NA,2004,31.3080006,2004-07-01,15.0699997,23.1880016,0.889
"20","DC 1",9.5539999,8,"1",NA,2004,30.9850006,2004-08-01,14.5839996,22.7840004,0
"21","DC 1",8.3120003,9,"1",NA,2004,27.9179993,2004-09-01,11.0609999,19.4880009,8.3479996
"22","DC 1",4.1729999,10,"1",NA,2004,19.0130005,2004-10-01,7.0250001,13.019001,207.5639954
